SFDB_ID,Mobile_Number,District,Age,Gender,Community,Education_Level,Occupation,Annual_Income,Marital_Status,Disability_Status,Eligible_Scheme
TN-AMF6-9EPH,9.18E+11,Kanyakumari,69,Female,SC,8th Pass,Unemployed,146212,Widow,0,Dr. Dharmambal Ammaiyar Widow Remarriage Assistance
TN-TP0V-1L1K,+916379950828,Tirunelveli,41,Male,BC,Graduate,Agriculture,212221,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-6OBA-W48M,9.18E+11,Tirunelveli,80,Female,MBC,10th Pass,Unemployed,144712,Married,0,Kalaignar Magalir Urimai Thogai
TN-7H6N-UVCP,9.19E+11,Coimbatore,82,Female,BC,10th Pass,Unemployed,73172,Married,0,Indira Gandhi National Old Age Pension
TN-V8PN-7TJ3,9.17E+11,Vellore,78,Female,BC,8th Pass,Unemployed,33479,Married,0,Indira Gandhi National Old Age Pension
TN-HXKT-84I3,9.18E+11,Madurai,71,Male,BC,10th Pass,Unemployed,88281,Married,0,Indira Gandhi National Old Age Pension
TN-5EZX-CZGY,9.20E+11,Kanyakumari,31,Female,BC,12th Pass,Self-Employed,33872,Married,0,Kalaignar Magalir Urimai Thogai
TN-P4DT-QV3E,9.19E+11,Salem,73,Male,BC,Illiterate,Unemployed,63164,Widow,0,Indira Gandhi National Old Age Pension
TN-Y619-LPKY,9.20E+11,Coimbatore,47,Male,MBC,12th Pass,Daily Wage,78267,Widow,0,MGNREGS (100 Days Work)
TN-3M26-WRW4,9.20E+11,Chennai,79,Male,BC,Illiterate,Unemployed,264353,Married,0,General Welfare / No Specific Scheme
TN-6N4O-1UJE,9.18E+11,Chennai,84,Male,ST,12th Pass,Unemployed,212477,Married,0,General Welfare / No Specific Scheme
TN-6DA3-65B3,9.18E+11,Chennai,41,Female,MBC,12th Pass,Daily Wage,53502,Married,0,Kalaignar Magalir Urimai Thogai
TN-VQ5U-AOZ1,9.18E+11,Kanyakumari,41,Male,ST,Diploma,Self-Employed,48702,Married,0,General Welfare / No Specific Scheme
TN-5O5M-8NC4,9.18E+11,Theni,41,Female,General,8th Pass,Agriculture,21892,Married,0,Kalaignar Magalir Urimai Thogai
TN-BED5-N8LP,9.16E+11,Kanyakumari,18,Female,BC,10th Pass,Student,71606,Single,0,General Welfare / No Specific Scheme
TN-A15N-9Z81,9.17E+11,Coimbatore,35,Female,SC,Graduate,Self-Employed,40299,Married,0,Kalaignar Magalir Urimai Thogai
TN-YQVL-KZ0L,9.19E+11,Salem,81,Male,BC,Illiterate,Unemployed,47025,Married,0,Indira Gandhi National Old Age Pension
TN-8HPX-NACB,9.20E+11,Ramanathapuram,20,Male,MBC,10th Pass,Student,235607,Single,0,General Welfare / No Specific Scheme
TN-AKWZ-GPFC,9.19E+11,Kanyakumari,63,Male,BC,10th Pass,Daily Wage,70493,Married,0,Indira Gandhi National Old Age Pension
TN-A8FW-Q1BF,9.18E+11,Coimbatore,52,Female,BC,8th Pass,Self-Employed,45768,Widow,0,Destitute Widow Pension Scheme
TN-HAK7-0IUA,9.17E+11,Vellore,63,Male,ST,Illiterate,Unemployed,25565,Widow,0,Indira Gandhi National Old Age Pension
TN-ADQE-GXBS,9.19E+11,Madurai,16,Female,BC,12th Pass,Student,116645,Single,0,General Welfare / No Specific Scheme
TN-6FHB-QJFU,9.19E+11,Chennai,75,Female,BC,10th Pass,Unemployed,137849,Married,0,Kalaignar Magalir Urimai Thogai
TN-56OP-1PVN,9.19E+11,Madurai,80,Male,BC,10th Pass,Unemployed,23128,Married,0,Indira Gandhi National Old Age Pension
TN-5TLW-EHCY,9.19E+11,Coimbatore,54,Male,MBC,10th Pass,Agriculture,145416,Married,0,Uzhavar Aluvalar Thodarbu Thittam
TN-TC15-PQEZ,9.18E+11,Ramanathapuram,70,Female,BC,Diploma,Unemployed,176162,Married,0,Kalaignar Magalir Urimai Thogai
TN-4F4Z-RSJK,9.17E+11,Madurai,67,Male,SC,Illiterate,Unemployed,76973,Married,0,Indira Gandhi National Old Age Pension
TN-13XQ-HNYV,9.18E+11,Chennai,41,Female,BC,Diploma,Agriculture,24230,Single,0,Uzhavar Aluvalar Thodarbu Thittam
TN-SNIW-NBU1,9.19E+11,Coimbatore,68,Female,MBC,8th Pass,Unemployed,15393,Widow,0,Destitute Widow Pension Scheme
TN-VCZH-RGGH,9.19E+11,Chennai,70,Female,BC,8th Pass,Unemployed,51637,Married,0,Indira Gandhi National Old Age Pension
TN-981S-CC4E,9.18E+11,Chennai,34,Female,MBC,10th Pass,Agriculture,47406,Married,0,Kalaignar Magalir Urimai Thogai
TN-XMNI-5FCN,9.17E+11,Vellore,32,Male,BC,Illiterate,Daily Wage,30171,Married,0,MGNREGS (100 Days Work)
TN-S6L3-II9D,9.16E+11,Vellore,69,Female,MBC,8th Pass,Unemployed,27237,Widow,0,Destitute Widow Pension Scheme
TN-4RNX-M15A,9.20E+11,Kanyakumari,18,Female,BC,10th Pass,Student,36451,Single,0,General Welfare / No Specific Scheme
TN-2HP5-92E2,9.17E+11,Trichy,33,Female,General,12th Pass,Daily Wage,69678,Married,0,Kalaignar Magalir Urimai Thogai
TN-ACW5-ANYP,9.18E+11,Theni,49,Male,General,10th Pass,Daily Wage,76090,Married,0,MGNREGS (100 Days Work)
TN-69EA-HXJB,9.19E+11,Tirunelveli,66,Female,SC,Graduate,Unemployed,60406,Married,0,Indira Gandhi National Old Age Pension
TN-NZUR-6O19,9.17E+11,Vellore,70,Male,SC,12th Pass,Unemployed,61013,Widow,0,Indira Gandhi National Old Age Pension
TN-QJ1U-2OFT,9.20E+11,Vellore,52,Male,SC,8th Pass,Agriculture,131792,Married,0,Uzhavar Aluvalar Thodarbu Thittam
